facility_name,x,y,address
American Legion Post #75,-79.8836625,40.290723,660 Miller Ave PA 15025
Fairways Lounge,-79.8527115,40.40892,1500 Locust  Street PA 15104
Pitcairn Hose Co #1,-79.777638,40.400847,100 S Center Ave PA 15140
American Legion Home Assn #820,-79.7745047368817,40.4428177783994,4339 Old Wm Penn Hwy PA 15146
Adzema Pharmacy Lunch Counter,-80.039025,40.554621,8105 Perry Highway PA 15237
The Tap Club,-80.077797,40.478319,401 McCoy  Road PA 15136
Montour Heights Country Club Restaurant,-80.195904,40.503087,1491 Coraopolis Heights  Road PA 15108
Amel's Restaurant & Lounge,-80.015625,40.383054,435 McNeilly Road PA 15226
Springdale Veterans Assn,-79.7721975,40.543911,1151 Pittsburgh Street PA 15144
Sons Of Italy Club,-80.1802035,40.541049,432 Division Street PA 15143
Glassport American Legion Post #443,-79.89228,40.32846,417 Monongahela Ave PA 15045
Thaddeus Kosciuszko Assn,-79.8335325,40.35618,2622 5th Ave PA 15132
Norwood Inn,-80.071749,40.475124,184 McCoy  Road PA 15136
Smitty's Grill,-80.061201,40.453713,3106 Chartiers Avenue PA 15204
Greentree Inn,-80.045415,40.416831,1006 Greentree Road PA 15220
Howard's Tavern,-80.0273655,40.511196,98 Center Avenue PA 15229
Italian Village Pizza,-79.977339,40.384107,2713 Brownsville Road PA 15227
Drinks,-80.021979,40.516407,348 Center  Avenue PA 15229
Arby's #543,-79.727508,40.62213,1617 Freeport Road PA 15065
Guyasuta Lounge,-79.9323795,40.494762,1004 N Canal St PA 15215
Gateway Clipper / Dock & Commissary,-80.0077365,40.435443,350 Station Square  Drive PA 15219
Rocky's Restaurant,-79.948116,40.461354,4759 Liberty Avenue PA 15224
Zone 28,-79.8443775,40.535154,2525 Freeport Road PA 15238
Coal Hill Steakhouse at the Grandview Saloon,-80.018523,40.438125,1212 Grandview Avenue PA 15211
B P O E / Elks #1090,-80.212293,40.542804,1150 Stoops Ferry Rd PA 15108
Dietch's Bar & Grill,-79.8625395,40.492908,272 Freeport Road PA 15238
Vocelli Pizza,-79.9286445,40.422186,4235 Murray Avenue PA 15217
Fox's Pizza Den,-79.7521005,40.603302,407 6th Avenue PA 15084
Jim's Pub,-79.856487,40.328307,2612 Liberty Way PA 15133
Trolley Barn Eatery,-80.013006,40.368411,3360 Library  Road PA 15234
Fort Pitt Inn,-80.210583,40.440132,7780 Steubenville Pike PA 15071
Subway Sandwiches & Salads,-79.9991685,40.439061,414 Smithfield Street PA 15222
A & B Pizza,-79.7148135,40.632093,2418 Freeport Road PA 15065
Sharwood Lounge,-79.7783715,40.401837,470 Broadway  Avenue PA 15140
Bellisario's Restaurant,-79.998201,40.566204,1710 Duncan Avenue PA 15101
Slovak American Club #831,-79.7605155,40.600206,147 7th Avenue PA 15084
Mar-Kee Lounge,-80.1065115,40.3578,655 Baldwin Street PA 15017
Pitcairn / Monroeville Sportsmen Club,-79.7777145,40.378986,505 Mosside Blvd PA 15137
Sieb's Pub & Restaurant,-80.021043,40.537044,3382 Babcock Boulevard PA 15237
Karwoskis Tavern,-79.971939,40.426335,132 S 24th St PA 15203
Mama Pepino's Pizza,-79.8272955,40.351878,2417 O'Neil Blvd PA 15131
Olive or Twist,-80.0025795,40.442958,140 6th Street PA 15222
China Wok,-79.9887915,40.438548,1202 5th Avenue PA 15219
Safari Club,-79.8523965,40.372047,704 Grant  Avenue PA 15110
Shenanigans,-80.000793,40.513743,2310 Babcock Boulevard PA 15237
Rugger's Pub,-79.9747065,40.430115,40 S 22nd St PA 15203
Maxwell's Pub,-79.989669,40.411476,519 Brownsville Rd PA 15210
Highmark Blue Cafe,-80.00343,40.441896,120 5th Avenue PA 15222
Clancy's Pub,-79.886907,40.350528,202 McClure St PA 15034
Oakmont Yacht Club,-79.8487335,40.516875,11 Washington Avenue PA 15139
Kentucky Fried Chicken #68,-79.7859631559045,40.4355684745451,3770 Wm Penn Hwy PA 15146
Ace Tavern,-80.073756,40.472802,716 Broadway Avenue PA 15136
Quik-It Chicken @ Valero Fueland,-80.0162955,40.456278,820 Pennsylvania  Avenue PA 15233
Ayman's DownStairs Deli,-79.7574825,40.437513,2790 Mosside Blvd PA 15146
Dorido's Restaurant,-79.9956495,40.321521,6408 Brownsville Rd PA 15236
218 Bar & Grill,-79.7615055,40.600035,218 7th Avenue PA 15084
Ardolino's Pizza,-80.109729,40.317912,1141 Boyce Road PA 15241
Chartiers Country Club Clubhouse,-80.092944,40.43475,601 Baldwin Road PA 15205
Krivan Hall Assoc,-79.782777,40.538718,628 Garfield Street PA 15144
Hardee's,-79.9755705,40.493079,1201 North Avenue PA 15209
The Rangos Giant Cinema @ Carnegie Science Center,-80.018127,40.445694,1 Allegheny  Avenue PA 15212
Longue Vue Club,-79.858719,40.481325,400 Longue Vue  Drive PA 15147
Soba Lounge / UMI,-79.9296075,40.457088,5847 Ellsworth  Avenue PA 15232
Saint Nicholas Greek Orthodox Cathedral,-79.9498935,40.444668,419 Dithridge Street PA 15213
American Legion Post #48,-79.7231475,40.613517,59 Garfield Street PA 15065
Crafton-Ingram Lanes Snack Bar & Suite,-80.071056,40.44177,252 Crafton Ingram Shopping Center PA 15205
Mike & Tony's Gyros,-79.98354,40.428684,1414 Carson Street PA 15203
R-Place,-79.837866,40.27986,102 Enterprise St PA 15037
Della Sala's Pizza Shop,-79.837812,40.482702,5527 Verona Rd PA 15147
Chartiers Country Club 10th Tee,-80.092944,40.43475,601 Baldwin Road PA 15205
Polish White Eagles,-80.0899875,40.402314,322 1st  Avenue PA 15106
Maietta's Italian Restaurant & Catering,-79.987023,40.415715,203 Brownsville  Road PA 15210
Kelly O's Diner,-80.035578,40.547934,1130 Perry Highway PA 15237
Murray's Cafe,-79.885665,40.420683,2038 Noble Street PA 15218
Starbucks Coffee #7708,-79.9170255,40.407615,270 Bridge Street PA 15120
Adrian's Pizza,-80.088876,40.611276,2562 Brandt School Road PA 15090
Tennyson Lodge Restaurant,-80.0267355,40.347387,4797 Library  Road PA 15102
Sunset Inn,-80.237682,40.44195,7992 Steubenville Pike PA 15071
VFW / Post #1810 Brentwood,-79.981938,40.370418,3801 Clairton Blvd PA 15227
McClaren's Bar,-79.8901605,40.403115,2000 Whitaker  Way PA 15120
Arby's #1203,-80.0531145,40.428495,2251 Noblestown Rd PA 15205
Squids Coffee Shop,-79.8512715,40.371894,607 Grant Avenue PA 15110
The Clubhouse,-79.9448985,40.617117,5301 Ranalli Dr PA 15044
Latina Pizza,-79.8682275,40.389237,4426 Kennywood Blvd PA 15122
Victory Hills Golf Course,-79.845228,40.235922,357 Pineview Dr PA 15037
Eat'n Park #9,-79.9735815,40.345866,5100 Clairton  Boulevard PA 15236
Park Valley Lounge,-79.98678,40.326255,5916 Brownsville Rd PA 15236
Twin Oaks Lounge,-79.8083082907507,40.3386975660697,1985 Lincoln Way PA 15131
Scallys Golf Center,-80.196183,40.478949,265 Hookstown Grade Rd PA 15108
Roccos Inn,-79.897635,40.422114,7105 Harrison Street PA 15218
Kaya,-79.9844625,40.451652,2000 Smallman Street PA 15222
Sonny's Tavern,-79.947558,40.457907,630 Millvale  Avenue PA 15224
Jadens Family Dining,-79.7312064169112,40.4333613403943,4727 Wm Penn Hwy PA 15146
South Hills Country Club Pool Snack Bar,-79.9855425,40.360941,4305 Brownsville Rd PA 15236
Little Tokyo,-80.044425,40.381758,636 Washington Road PA 15228
Kentucky Fried Chicken #15,-79.94835,40.592385,4673 Route 8 PA 15101
Carbonara's Ristorante,-80.0369685,40.36797,250 Mt Lebanon  Boulevard PA 15234
Broadway Pizza & Subs,-79.849017,40.346028,2305 Versailles Avenue PA 15132
Garden of Eating,-80.146116708,40.4446024330001,7900 Steubenville Pike PA 15126
Bob Evans Restaurant #80,-79.9436115,40.348017,2210 Lebanon Church Rd PA 15122
Chan An Restaurant,-79.977177,40.431366,2013 Wharton Street PA 15203
Arby's #1858,-79.8191505,40.484646,6105 Saltsburg Rd PA 15147
Carousel Marina Restaurant & Bar,-79.9567605,40.238775,200 Carousel Drive PA 15020
Bruegger's Bagel Bakery,-79.998363,40.438521,429 4th  Avenue PA 15219
Stardust Lounge,-80.223579,40.519467,950 Brodhead Rd PA 15108
Ciccanti Ristorante,-79.938558,40.312233,1206 Route 51 Highway PA 15025
Sbarro Italian Eatery PA#107,-79.7960295,40.42926,200 Mall Circle Drive PA 15146
